category,text,label
Transport,neutral,neutral
Hostel,"It was adequate for the hostel, could be improved.",neutral
Hostel,"The hostel was average, nothing extraordinary.",neutral
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations. from my perspective.,positive
Academics,"It felt typical regarding the academics, neither good nor bad. frankly speaking.",neutral
Hostel,The hostel met basic expectations; no strong opinion. from my perspective. ubiquitous.,neutral
Academics,"I appreciate the academics, it was extremely helpful and supportive. commendable.",positive
Canteens,"It felt typical regarding the canteens, neither good nor bad.",neutral
Hostel,"It was adequate for the hostel, could be improved.",neutral
Hostel,The hostel experience was poor and needs immediate rectification.,negative
Events,"Overall, the events has been a highly positive experience. frankly speaking.",positive
Hostel,"It felt typical regarding the hostel, neither good nor bad.",neutral
Events,There are serious issues with the events that should be addressed.,negative
Events,I have a neutral view about the events.,neutral
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Transport,The transport experience was poor and needs immediate rectification.,negative
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Events,The events experience was excellent and enriching.,positive
Events,There are serious issues with the events that should be addressed. in general.,negative
Canteens,"The canteens was average, nothing extraordinary. substandard.",neutral
Canteens,"It felt typical regarding the canteens, neither good nor bad.",neutral
Transport,The transport experience was excellent and enriching.,positive
Canteens,I have a neutral view about the canteens. to be honest.,neutral
Academics,The academics was lamentable and quite problematic.,negative
Transport,I found the transport unsatisfactory and frustrating.,negative
Events,"It felt typical regarding the events, neither good nor bad. ascertain.",neutral
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Canteens,The canteens experience was poor and needs immediate rectification.,negative
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort. in general.,positive
Events,I found the events unsatisfactory and frustrating.,negative
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Events,The events was lamentable and quite problematic. in general.,negative
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Canteens,The canteens experience was poor and needs immediate rectification.,negative
Canteens,I am very satisfied with the canteens; it really exceeded expectations.,positive
Academics,"I appreciate the academics, it was extremely helpful and supportive.",positive
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Canteens,The canteens experience was poor and needs immediate rectification. detrimental.,negative
Academics,The academics team handled things brilliantly — commendable effort.,positive
Transport,"I appreciate the transport, it was extremely helpful and supportive.",positive
Canteens,There are serious issues with the canteens that should be addressed.,negative
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Events,The events met basic expectations; no strong opinion.,neutral
Transport,"Overall, the transport has been a highly positive experience. commendable.",positive
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Events,"It was adequate for the events, could be improved.",neutral
Events,I am disappointed with the events; it was substandard.,negative
Canteens,neutral,negative
Events,good,negative
Canteens,neutral,negative
Events,The events experience was poor and needs immediate rectification.,negative
Canteens,I found the canteens unsatisfactory and frustrating. lamentable.,negative
Canteens,"It was adequate for the canteens, could be improved.",neutral
Hostel,There are serious issues with the hostel that should be addressed. ubiquitous.,negative
Transport,neutral,neutral
Hostel,"Overall, the hostel has been a highly positive experience. facilitate.",positive
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Academics,The academics experience was poor and needs immediate rectification.,negative
Hostel Mess,"It was adequate for the hostel mess, could be improved. in general.",neutral
Hostel Mess,"It was adequate for the hostel mess, could be improved.",neutral
Events,excellent,positive
Academics,bad,neutral
Hostel Mess,"It was adequate for the hostel mess, could be improved. frankly speaking.",neutral
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Hostel,I have a neutral view about the hostel.,neutral
Transport,I found the transport unsatisfactory and frustrating.,negative
Hostel Mess,The hostel mess experience was excellent and enriching. ameliorate.,positive
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Academics,"I appreciate the academics, it was extremely helpful and supportive.",positive
Transport,There are serious issues with the transport that should be addressed. overall.,negative
Transport,The transport experience was excellent and enriching.,positive
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Transport,There are serious issues with the transport that should be addressed.,negative
Events,"It was adequate for the events, could be improved.",neutral
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Hostel,I am disappointed with the hostel; it was substandard. in general. commendable.,negative
Hostel,excellent,neutral
Hostel,"The hostel was average, nothing extraordinary. to be honest.",neutral
Transport,"The transport was average, nothing extraordinary.",neutral
Events,The events met basic expectations; no strong opinion.,neutral
Transport,There are serious issues with the transport that should be addressed. frankly speaking.,negative
Events,The events met basic expectations; no strong opinion. facilitate.,neutral
Transport,I am very satisfied with the transport; it really exceeded expectations.,positive
Academics,"Overall, the academics has been a highly positive experience. commendable.",positive
Academics,There are serious issues with the academics that should be addressed.,negative
Hostel,I have a neutral view about the hostel.,neutral
Events,The events was lamentable and quite problematic. nuanced.,negative
Hostel,"The hostel was average, nothing extraordinary.",neutral
Transport,I have a neutral view about the transport. overall.,neutral
Events,"It felt typical regarding the events, neither good nor bad. in general.",neutral
Academics,The academics experience was poor and needs immediate rectification.,negative
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Hostel,There are serious issues with the hostel that should be addressed.,negative
Hostel Mess,I am disappointed with the hostel mess; it was substandard. substandard.,negative
Hostel,"Overall, the hostel has been a highly positive experience.",positive
Transport,"The transport was average, nothing extraordinary. frankly speaking.",neutral
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. frankly speaking.",positive
Academics,The academics team handled things brilliantly — commendable effort.,positive
Events,There are serious issues with the events that should be addressed.,negative
Transport,I found the transport unsatisfactory and frustrating.,negative
Events,The events experience was excellent and enriching.,positive
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Transport,I am very satisfied with the transport; it really exceeded expectations. ameliorate.,positive
Transport,"The transport was average, nothing extraordinary. in general.",neutral
Academics,"The academics was average, nothing extraordinary. in general. enrichment.",neutral
Canteens,I found the canteens unsatisfactory and frustrating. frankly speaking. commendable.,negative
Hostel,"It felt typical regarding the hostel, neither good nor bad.",neutral
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Hostel,I am disappointed with the hostel; it was substandard.,negative
Canteens,"I appreciate the canteens, it was extremely helpful and supportive. ubiquitous.",positive
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Transport,I found the transport unsatisfactory and frustrating. commendable.,negative
Hostel Mess,The hostel mess met basic expectations; no strong opinion. from my perspective. ascertain.,neutral
Hostel Mess,"The hostel mess was average, nothing extraordinary. nuanced.",neutral
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Hostel Mess,The hostel mess experience was excellent and enriching.,positive
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Academics,bad,neutral
Academics,The academics team handled things brilliantly — commendable effort.,positive
Canteens,I am disappointed with the canteens; it was substandard. frankly speaking. nuanced.,negative
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Hostel,I am very satisfied with the hostel; it really exceeded expectations. nuanced.,positive
Academics,"It felt typical regarding the academics, neither good nor bad. to be honest.",neutral
Canteens,The canteens experience was excellent and enriching.,positive
Events,The events experience was poor and needs immediate rectification.,negative
Transport,"It was adequate for the transport, could be improved.",neutral
Canteens,"It felt typical regarding the canteens, neither good nor bad.",neutral
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort.,positive
Transport,There are serious issues with the transport that should be addressed. overall.,negative
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Academics,I found the academics unsatisfactory and frustrating.,negative
Hostel,"Overall, the hostel has been a highly positive experience.",positive
Transport,"It was adequate for the transport, could be improved. frankly speaking.",neutral
Academics,"It was adequate for the academics, could be improved.",neutral
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Events,The events was lamentable and quite problematic.,negative
Transport,"The transport was average, nothing extraordinary. frankly speaking.",neutral
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Academics,"It was adequate for the academics, could be improved.",neutral
Events,There are serious issues with the events that should be addressed. from my perspective.,negative
Canteens,"It was adequate for the canteens, could be improved.",neutral
Canteens,There are serious issues with the canteens that should be addressed. ascertain.,negative
Academics,"Overall, the academics has been a highly positive experience. commendable.",positive
Events,The events team handled things brilliantly — commendable effort.,positive
Transport,The transport met basic expectations; no strong opinion. frankly speaking.,neutral
Academics,"Overall, the academics has been a highly positive experience.",positive
Academics,The academics team handled things brilliantly — commendable effort.,positive
Transport,There are serious issues with the transport that should be addressed. substandard.,negative
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Events,"The events was average, nothing extraordinary. to be honest.",neutral
Canteens,There are serious issues with the canteens that should be addressed. from my perspective.,negative
Canteens,The canteens experience was poor and needs immediate rectification.,negative
Academics,I have a neutral view about the academics. to be honest.,neutral
Hostel Mess,The hostel mess experience was excellent and enriching.,positive
Transport,"It was adequate for the transport, could be improved. to be honest.",neutral
Transport,"Overall, the transport has been a highly positive experience.",positive
Events,"It felt typical regarding the events, neither good nor bad. from my perspective.",neutral
Academics,The academics experience was poor and needs immediate rectification.,negative
Hostel,I am very satisfied with the hostel; it really exceeded expectations. in general.,positive
Academics,"I appreciate the academics, it was extremely helpful and supportive. lamentable.",positive
Hostel,The hostel was lamentable and quite problematic.,negative
Hostel,The hostel experience was excellent and enriching. overall.,positive
Academics,The academics experience was poor and needs immediate rectification.,negative
Hostel,"It was adequate for the hostel, could be improved. overall.",neutral
Hostel,The hostel experience was poor and needs immediate rectification. frankly speaking. substandard.,negative
Canteens,"Overall, the canteens has been a highly positive experience.",positive
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad. frankly speaking.",neutral
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Transport,"Overall, the transport has been a highly positive experience.",positive
Hostel,"It felt typical regarding the hostel, neither good nor bad. overall.",neutral
Canteens,The canteens was lamentable and quite problematic. detrimental.,negative
Hostel,"It was adequate for the hostel, could be improved. to be honest.",neutral
Academics,The academics was lamentable and quite problematic. enrichment.,negative
Transport,The transport was lamentable and quite problematic. enrichment.,negative
Canteens,"It felt typical regarding the canteens, neither good nor bad.",neutral
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive. frankly speaking. ubiquitous.",positive
Events,There are serious issues with the events that should be addressed. from my perspective.,negative
Canteens,The canteens experience was poor and needs immediate rectification.,negative
Events,The events team handled things brilliantly — commendable effort. overall.,positive
Transport,The transport experience was excellent and enriching.,positive
Events,The events was lamentable and quite problematic.,negative
Hostel,There are serious issues with the hostel that should be addressed. enrichment.,negative
Hostel Mess,There are serious issues with the hostel mess that should be addressed. substandard.,negative
Hostel,"It felt typical regarding the hostel, neither good nor bad.",neutral
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Canteens,The canteens met basic expectations; no strong opinion. from my perspective.,neutral
Events,I am very satisfied with the events; it really exceeded expectations.,positive
Transport,The transport experience was excellent and enriching.,positive
Academics,"I appreciate the academics, it was extremely helpful and supportive.",positive
Events,The events team handled things brilliantly — commendable effort.,positive
Transport,I found the transport unsatisfactory and frustrating. to be honest.,negative
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Transport,I am disappointed with the transport; it was substandard.,negative
Academics,The academics experience was poor and needs immediate rectification. facilitate.,negative
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Events,I am very satisfied with the events; it really exceeded expectations. overall.,positive
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations. in general.,positive
Hostel Mess,The hostel mess met basic expectations; no strong opinion. substandard.,neutral
Canteens,"It felt typical regarding the canteens, neither good nor bad. to be honest.",neutral
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Academics,The academics experience was poor and needs immediate rectification.,negative
Hostel,"The hostel was average, nothing extraordinary.",neutral
Academics,I am disappointed with the academics; it was substandard.,negative
Events,I have a neutral view about the events.,neutral
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Transport,The transport experience was poor and needs immediate rectification.,negative
Transport,There are serious issues with the transport that should be addressed. in general.,negative
Events,The events experience was poor and needs immediate rectification.,negative
Hostel Mess,"It was adequate for the hostel mess, could be improved. ubiquitous.",neutral
Canteens,The canteens met basic expectations; no strong opinion.,neutral
Hostel,"I appreciate the hostel, it was extremely helpful and supportive.",positive
Hostel,I found the hostel unsatisfactory and frustrating.,negative
Canteens,I am disappointed with the canteens; it was substandard. facilitate.,negative
Canteens,The canteens was lamentable and quite problematic.,negative
Transport,The transport experience was excellent and enriching.,positive
Academics,"Overall, the academics has been a highly positive experience. overall.",positive
Hostel,"It was adequate for the hostel, could be improved.",neutral
Transport,The transport team handled things brilliantly — commendable effort. overall.,positive
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. from my perspective.",positive
Events,"It was adequate for the events, could be improved. from my perspective.",neutral
Canteens,I am very satisfied with the canteens; it really exceeded expectations.,positive
Hostel Mess,I have a neutral view about the hostel mess. lamentable.,neutral
Events,I found the events unsatisfactory and frustrating. substandard.,negative
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Academics,"It felt typical regarding the academics, neither good nor bad. overall. substandard.",neutral
Hostel Mess,bad,positive
Transport,The transport experience was excellent and enriching. nuanced.,positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations. commendable.,positive
Academics,The academics team handled things brilliantly — commendable effort.,positive
Events,There are serious issues with the events that should be addressed. to be honest.,negative
Transport,"Overall, the transport has been a highly positive experience. ubiquitous.",positive
Transport,"It was adequate for the transport, could be improved. in general.",neutral
Academics,I have a neutral view about the academics.,neutral
Events,I found the events unsatisfactory and frustrating. to be honest.,negative
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Transport,"It was adequate for the transport, could be improved.",neutral
Canteens,poor,positive
Events,"I appreciate the events, it was extremely helpful and supportive. overall.",positive
Events,"The events was average, nothing extraordinary.",neutral
Hostel,The hostel experience was poor and needs immediate rectification.,negative
Academics,The academics experience was excellent and enriching.,positive
Canteens,I am very satisfied with the canteens; it really exceeded expectations. facilitate.,positive
Events,neutral,positive
Academics,The academics team handled things brilliantly — commendable effort.,positive
Academics,There are serious issues with the academics that should be addressed.,negative
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Transport,The transport was lamentable and quite problematic. overall.,negative
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Hostel Mess,The hostel mess was lamentable and quite problematic.,negative
Hostel Mess,The hostel mess was lamentable and quite problematic.,negative
Transport,"It was adequate for the transport, could be improved.",neutral
Hostel,I have a neutral view about the hostel. ameliorate.,neutral
Transport,"Overall, the transport has been a highly positive experience.",positive
Transport,The transport was lamentable and quite problematic.,negative
Events,I am very satisfied with the events; it really exceeded expectations.,positive
Academics,There are serious issues with the academics that should be addressed.,negative
Canteens,I found the canteens unsatisfactory and frustrating. substandard.,negative
Transport,"It was adequate for the transport, could be improved.",neutral
Academics,The academics was lamentable and quite problematic. to be honest.,negative
Hostel Mess,The hostel mess was lamentable and quite problematic.,negative
Canteens,The canteens was lamentable and quite problematic.,negative
Events,excellent,negative
Academics,"It felt typical regarding the academics, neither good nor bad.",neutral
Transport,The transport was lamentable and quite problematic.,negative
Academics,"The academics was average, nothing extraordinary. to be honest.",neutral
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Canteens,"It was adequate for the canteens, could be improved. nuanced.",neutral
Hostel,"Overall, the hostel has been a highly positive experience.",positive
Transport,"I appreciate the transport, it was extremely helpful and supportive.",positive
Transport,"I appreciate the transport, it was extremely helpful and supportive.",positive
Academics,The academics experience was excellent and enriching.,positive
Transport,I have a neutral view about the transport.,neutral
Transport,The transport met basic expectations; no strong opinion.,neutral
Hostel,"I appreciate the hostel, it was extremely helpful and supportive.",positive
Hostel,There are serious issues with the hostel that should be addressed.,negative
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Events,"Overall, the events has been a highly positive experience.",positive
Events,The events was lamentable and quite problematic.,negative
Transport,I am very satisfied with the transport; it really exceeded expectations.,positive
Academics,The academics experience was excellent and enriching. detrimental.,positive
Hostel Mess,There are serious issues with the hostel mess that should be addressed.,negative
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Hostel Mess,"The hostel mess was average, nothing extraordinary.",neutral
Canteens,"The canteens was average, nothing extraordinary. detrimental.",neutral
Hostel,I have a neutral view about the hostel.,neutral
Hostel Mess,good,negative
Hostel,"The hostel was average, nothing extraordinary.",neutral
Hostel,"Overall, the hostel has been a highly positive experience.",positive
Events,"It was adequate for the events, could be improved. facilitate.",neutral
Transport,The transport met basic expectations; no strong opinion. facilitate.,neutral
Hostel,"I appreciate the hostel, it was extremely helpful and supportive.",positive
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Transport,I am very satisfied with the transport; it really exceeded expectations. from my perspective.,positive
Transport,The transport was lamentable and quite problematic. lamentable.,negative
Events,There are serious issues with the events that should be addressed.,negative
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Canteens,The canteens was lamentable and quite problematic.,negative
Canteens,"Overall, the canteens has been a highly positive experience.",positive
Canteens,There are serious issues with the canteens that should be addressed.,negative
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Transport,"It was adequate for the transport, could be improved.",neutral
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. in general.",positive
Hostel Mess,"The hostel mess was average, nothing extraordinary. from my perspective.",neutral
Hostel,I am disappointed with the hostel; it was substandard.,negative
Hostel Mess,There are serious issues with the hostel mess that should be addressed.,negative
Canteens,"The canteens was average, nothing extraordinary.",neutral
Events,I found the events unsatisfactory and frustrating.,negative
Hostel,"It was adequate for the hostel, could be improved.",neutral
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad. from my perspective.",neutral
Transport,"I appreciate the transport, it was extremely helpful and supportive.",positive
Hostel Mess,neutral,positive
Academics,The academics was lamentable and quite problematic.,negative
Events,The events team handled things brilliantly — commendable effort. ubiquitous.,positive
Transport,"The transport was average, nothing extraordinary. in general. lamentable.",neutral
Hostel,The hostel met basic expectations; no strong opinion.,neutral
Events,There are serious issues with the events that should be addressed.,negative
Hostel,"Overall, the hostel has been a highly positive experience.",positive
Canteens,I am disappointed with the canteens; it was substandard.,negative
Canteens,The canteens was lamentable and quite problematic.,negative
Canteens,The canteens experience was poor and needs immediate rectification.,negative
Hostel,"Overall, the hostel has been a highly positive experience.",positive
Hostel,The hostel was lamentable and quite problematic. ubiquitous.,negative
Canteens,The canteens met basic expectations; no strong opinion. in general.,neutral
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Academics,"Overall, the academics has been a highly positive experience.",positive
Events,I have a neutral view about the events.,neutral
Hostel,I have a neutral view about the hostel. substandard.,neutral
Academics,"The academics was average, nothing extraordinary.",neutral
Hostel Mess,"Overall, the hostel mess has been a highly positive experience. frankly speaking.",positive
Transport,"Overall, the transport has been a highly positive experience. nuanced.",positive
Events,"The events was average, nothing extraordinary. to be honest.",neutral
Academics,"The academics was average, nothing extraordinary. ubiquitous.",neutral
Hostel Mess,The hostel mess experience was poor and needs immediate rectification.,negative
Events,"It was adequate for the events, could be improved.",neutral
Canteens,"The canteens was average, nothing extraordinary.",neutral
Canteens,I have a neutral view about the canteens.,neutral
Academics,"It was adequate for the academics, could be improved.",neutral
Events,I am disappointed with the events; it was substandard.,negative
Hostel,I am disappointed with the hostel; it was substandard.,negative
Transport,"The transport was average, nothing extraordinary.",neutral
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Hostel,The hostel met basic expectations; no strong opinion.,neutral
Events,"Overall, the events has been a highly positive experience.",positive
Transport,The transport met basic expectations; no strong opinion.,neutral
Events,I am disappointed with the events; it was substandard.,negative
Hostel,The hostel experience was excellent and enriching. detrimental.,positive
Hostel,The hostel experience was excellent and enriching. overall.,positive
Hostel,I am disappointed with the hostel; it was substandard. ameliorate.,negative
Transport,"Overall, the transport has been a highly positive experience. frankly speaking.",positive
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Events,There are serious issues with the events that should be addressed.,negative
Academics,The academics was lamentable and quite problematic.,negative
Transport,There are serious issues with the transport that should be addressed.,negative
Events,The events experience was excellent and enriching.,positive
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Hostel,I found the hostel unsatisfactory and frustrating. lamentable.,negative
Hostel Mess,"It was adequate for the hostel mess, could be improved.",neutral
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort. lamentable.,positive
Hostel Mess,"Overall, the hostel mess has been a highly positive experience. lamentable.",positive
Hostel Mess,"It was adequate for the hostel mess, could be improved. from my perspective.",neutral
Events,"The events was average, nothing extraordinary.",neutral
Academics,"I appreciate the academics, it was extremely helpful and supportive.",positive
Canteens,The canteens team handled things brilliantly — commendable effort. nuanced.,positive
Canteens,"I appreciate the canteens, it was extremely helpful and supportive. in general.",positive
Hostel,I am disappointed with the hostel; it was substandard. ameliorate.,negative
Hostel Mess,There are serious issues with the hostel mess that should be addressed.,negative
Canteens,The canteens team handled things brilliantly — commendable effort. from my perspective.,positive
Events,I am very satisfied with the events; it really exceeded expectations. overall.,positive
Events,The events team handled things brilliantly — commendable effort. in general.,positive
Hostel Mess,"The hostel mess was average, nothing extraordinary. overall. ameliorate.",neutral
Academics,The academics met basic expectations; no strong opinion. overall.,neutral
Hostel,"The hostel was average, nothing extraordinary.",neutral
Events,The events met basic expectations; no strong opinion. to be honest. ubiquitous.,neutral
Academics,There are serious issues with the academics that should be addressed. enrichment.,negative
Hostel,"The hostel was average, nothing extraordinary.",neutral
Academics,The academics experience was poor and needs immediate rectification. overall.,negative
Hostel Mess,"Overall, the hostel mess has been a highly positive experience. lamentable.",positive
Canteens,"The canteens was average, nothing extraordinary.",neutral
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Hostel Mess,good,negative
Events,I am disappointed with the events; it was substandard.,negative
Events,The events experience was excellent and enriching.,positive
Hostel Mess,I have a neutral view about the hostel mess.,neutral
Transport,"It was adequate for the transport, could be improved.",neutral
Transport,There are serious issues with the transport that should be addressed. frankly speaking.,negative
Hostel,"It was adequate for the hostel, could be improved.",neutral
Canteens,I am disappointed with the canteens; it was substandard.,negative
Canteens,"Overall, the canteens has been a highly positive experience. in general.",positive
Hostel Mess,"I appreciate the hostel mess, it was extremely helpful and supportive.",positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations. overall.,positive
Hostel,The hostel was lamentable and quite problematic. to be honest.,negative
Hostel,The hostel experience was poor and needs immediate rectification.,negative
Events,I have a neutral view about the events. frankly speaking.,neutral
Hostel,The hostel team handled things brilliantly — commendable effort.,positive
Canteens,The canteens team handled things brilliantly — commendable effort.,positive
Academics,I found the academics unsatisfactory and frustrating.,negative
Transport,The transport met basic expectations; no strong opinion. to be honest.,neutral
Transport,The transport experience was poor and needs immediate rectification. facilitate.,negative
Hostel Mess,The hostel mess was lamentable and quite problematic. facilitate.,negative
Events,"It felt typical regarding the events, neither good nor bad. to be honest.",neutral
Events,"The events was average, nothing extraordinary.",neutral
Events,I found the events unsatisfactory and frustrating.,negative
Events,"It felt typical regarding the events, neither good nor bad.",neutral
Canteens,The canteens was lamentable and quite problematic.,negative
Hostel,The hostel was lamentable and quite problematic. overall.,negative
Transport,I found the transport unsatisfactory and frustrating.,negative
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Hostel,"I appreciate the hostel, it was extremely helpful and supportive. detrimental.",positive
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Hostel,bad,negative
Hostel Mess,The hostel mess was lamentable and quite problematic. ameliorate.,negative
Events,The events was lamentable and quite problematic.,negative
Academics,"The academics was average, nothing extraordinary.",neutral
Transport,"It was adequate for the transport, could be improved.",neutral
Events,I found the events unsatisfactory and frustrating.,negative
Hostel Mess,"The hostel mess was average, nothing extraordinary. frankly speaking.",neutral
Hostel Mess,I have a neutral view about the hostel mess.,neutral
Transport,"It was adequate for the transport, could be improved. ascertain.",neutral
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Canteens,The canteens experience was excellent and enriching.,positive
Canteens,The canteens experience was excellent and enriching.,positive
Events,good,neutral
Academics,I am very satisfied with the academics; it really exceeded expectations. enrichment.,positive
Transport,The transport experience was excellent and enriching.,positive
Canteens,"It felt typical regarding the canteens, neither good nor bad.",neutral
Transport,I have a neutral view about the transport.,neutral
Transport,The transport met basic expectations; no strong opinion. to be honest.,neutral
Canteens,good,negative
Hostel Mess,I am disappointed with the hostel mess; it was substandard.,negative
Transport,I found the transport unsatisfactory and frustrating. from my perspective.,negative
Transport,The transport was lamentable and quite problematic.,negative
Transport,The transport team handled things brilliantly — commendable effort. in general.,positive
Events,I have a neutral view about the events.,neutral
Events,There are serious issues with the events that should be addressed. in general. enrichment.,negative
Transport,The transport experience was excellent and enriching. in general. ascertain.,positive
Hostel Mess,good,positive
Events,I am disappointed with the events; it was substandard. in general.,negative
Events,The events experience was excellent and enriching. to be honest.,positive
Transport,The transport met basic expectations; no strong opinion.,neutral
Hostel Mess,The hostel mess team handled things brilliantly — commendable effort.,positive
Transport,I am very satisfied with the transport; it really exceeded expectations.,positive
Academics,The academics team handled things brilliantly — commendable effort.,positive
Events,The events experience was excellent and enriching.,positive
Canteens,I have a neutral view about the canteens. frankly speaking.,neutral
Events,I found the events unsatisfactory and frustrating.,negative
Hostel,"I appreciate the hostel, it was extremely helpful and supportive.",positive
Academics,There are serious issues with the academics that should be addressed.,negative
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad.",neutral
Transport,The transport was lamentable and quite problematic. ameliorate.,negative
Canteens,I found the canteens unsatisfactory and frustrating.,negative
Academics,I found the academics unsatisfactory and frustrating. to be honest.,negative
Academics,The academics experience was excellent and enriching.,positive
Events,"It felt typical regarding the events, neither good nor bad.",neutral
Hostel Mess,"It felt typical regarding the hostel mess, neither good nor bad. to be honest.",neutral
Canteens,The canteens experience was excellent and enriching.,positive
Academics,I am very satisfied with the academics; it really exceeded expectations.,positive
Academics,There are serious issues with the academics that should be addressed. to be honest.,negative
Hostel Mess,The hostel mess met basic expectations; no strong opinion.,neutral
Events,"It felt typical regarding the events, neither good nor bad.",neutral
Academics,I found the academics unsatisfactory and frustrating.,negative
Events,I have a neutral view about the events. frankly speaking.,neutral
Transport,"The transport was average, nothing extraordinary. overall.",neutral
Hostel,I am very satisfied with the hostel; it really exceeded expectations. frankly speaking.,positive
Hostel,I am very satisfied with the hostel; it really exceeded expectations.,positive
Canteens,I am very satisfied with the canteens; it really exceeded expectations. commendable.,positive
Canteens,"It was adequate for the canteens, could be improved. to be honest.",neutral
Canteens,The canteens experience was excellent and enriching.,positive
Hostel Mess,"Overall, the hostel mess has been a highly positive experience.",positive
Academics,I found the academics unsatisfactory and frustrating. frankly speaking.,negative
Academics,"I appreciate the academics, it was extremely helpful and supportive. detrimental.",positive
Transport,bad,positive
Hostel,There are serious issues with the hostel that should be addressed.,negative
Hostel Mess,I am very satisfied with the hostel mess; it really exceeded expectations.,positive
Academics,good,positive
Events,"I appreciate the events, it was extremely helpful and supportive.",positive
Canteens,There are serious issues with the canteens that should be addressed. in general.,negative
Canteens,I have a neutral view about the canteens. in general.,neutral
Hostel,The hostel experience was excellent and enriching. commendable.,positive
